date_label,year_label,pollster_label,citation_id,source_url,format_family,parser_identifier,notes
14 Jan,2026,Find Out Now,36,https://cms.findoutnow.co.uk/app/uploads/2026/01/14th-January-VI-Find-Out-Now.xlsx,xlsx,find_out_now,
10– 14 Jan,2026,Survation,37,https://cdn.survation.com/wp-content/uploads/2026/01/15163049/Survation_VI_2026-01-15_Tables.xlsx,xlsx,survation,
10– 13 Jan,2026,More in Common,38,https://files.38degrees.org.uk/items/files/000/008/967/original/38_Degrees_National_Briefing_September_2025.pdf,pdf,more_in_common,
11– 12 Jan,2026,YouGov,39,https://d3nkl3psvxxpe9.cloudfront.net/documents/VotingIntention_MRP_Results_260112_w.pdf,pdf,yougov,
9– 11 Jan,2026,Freshwater Strategy,40,https://freshwaterstrategy.com/wp-content/uploads/Data-Tables-City-AM-Freshwater-Strategy-UK-Polling-110126.xlsx,xlsx,freshwater_strategy,
7– 9 Jan,2026,Opinium,41,https://www.opinium.com/wp-content/uploads/2026/01/Observer-VI-2026-01-07-data-tables-1209.xlsx,xlsx,opinium,
14 Dec – 9 Jan,2026,YouGov,42,https://yougov.co.uk/politics/articles/53923-how-would-britain-vote-at-the-start-of-2026,html,yougov,
7– 8 Jan,2026,Find Out Now,43,https://cms.findoutnow.co.uk/app/uploads/2026/01/7th-January-VI-Find-Out-Now.xlsx,xlsx,find_out_now,
4– 5 Jan,2026,YouGov,44,https://d3nkl3psvxxpe9.cloudfront.net/documents/VotingIntention_MRP_Results_260105_w.pdf,pdf,yougov,
2– 5 Jan,2026,More in Common,45,https://www.moreincommon.org.uk/media/q0odjn4s/voting-intention-january-7.xlsx,xlsx,more_in_common,
31 Dec,2025,Find Out Now,46,https://cms.findoutnow.co.uk/app/uploads/2026/01/31st-December-VI-Find-Out-Now.xlsx,xlsx,find_out_now,
24 Dec,2025,Find Out Now,47,https://cms.findoutnow.co.uk/app/uploads/2025/12/24th-December-VI-Find-Out-Now.xlsx,xlsx,find_out_now,
19– 23 Dec,2025,More in Common,48,https://www.moreincommon.org.uk/media/adwnbahz/voting-intention-december-24.xlsx,xlsx,more_in_common,
21– 22 Dec,2025,YouGov,49,https://d3nkl3psvxxpe9.cloudfront.net/documents/VotingIntention_MRP_Results_251222_w.pdf,pdf,yougov,
16– 18 Dec,2025,Deltapoll,50,https://deltapoll.co.uk/wp-content/uploads/2026/01/260105_Deltapoll-Mirror-pdf.pdf,pdf,deltapoll,
17 Dec,2025,Find Out Now,51,https://cms.findoutnow.co.uk/app/uploads/2025/12/17th-December-VI-Find-Out-Now.xlsx,xlsx,find_out_now,
12– 16 Dec,2025,More in Common,52,https://www.moreincommon.org.uk/media/qafbolok/voting-intention-december2.xlsx,xlsx,more_in_common,
27 Nov – 16 Dec,2025,More in Common (MRP),53,https://www.moreincommon.org.uk/latest-insights/more-in-common-s-january-mrp/,html,more_in_common,
14– 15 Dec,2025,YouGov,54,https://d3nkl3psvxxpe9.cloudfront.net/documents/VotingIntention_MRP_Results_251215_w.pdf,pdf,yougov,
12– 15 Dec,2025,Verian,55,https://www.veriangroup.com/hubfs/UK/polling/method-and-tables/Method%20and%20tables%20-%20December%2025.pdf,pdf,verian,
11– 15 Dec,2025,Lord Ashcroft Polls,56,https://lordashcroftpolls.com/2025/12/daft-questions-yes-but-the-answers-speak-volumes-about-the-state-of-our-government/,html,lord_ashcroft,
10– 12 Dec,2025,Opinium,57,https://www.opinium.com/wp-content/uploads/2025/12/VI-2025-12-10-Data-tables-1531.xlsx,xlsx,opinium,
10 Dec,2025,Find Out Now,58,https://cms.findoutnow.co.uk/app/uploads/2025/12/10th-December-VI-Find-Out-Now.xlsx,xlsx,find_out_now,
7– 8 Dec,2025,YouGov,59,https://d3nkl3psvxxpe9.cloudfront.net/documents/VotingIntention_MRP_Results_251208_w.pdf,pdf,yougov,
4– 8 Dec,2025,More in Common,60,https://www.moreincommon.org.uk/media/b1fa5gaa/voting-intention-december-17.xlsx,xlsx,more_in_common,
1– 8 Dec,2025,Find Out Now/ Electoral Calculus  (MRP),,,unknown,find_out_now_electoral_calculus,missing citation/source url
3 Dec,2025,Find Out Now,62,https://cms.findoutnow.co.uk/app/uploads/2025/12/3rd-December-VI-Find-Out-Now.xlsx,xlsx,find_out_now,
30 Nov – 1 Dec,2025,YouGov,63,https://d3nkl3psvxxpe9.cloudfront.net/documents/VotingIntention_MRP_Results_251201_w.pdf,pdf,yougov,
29 Nov – 1 Dec,2025,JL Partners,64,https://jlpartners.co.uk/s/Voting-Intention-December.xlsx,xlsx,jl_partners,
28 Nov – 1 Dec,2025,More in Common,,,unknown,more_in_common,missing citation/source url
28– 30 Nov,2025,Freshwater Strategy,,,unknown,freshwater_strategy,missing citation/source url
26– 28 Nov,2025,Focaldata,67,https://hs-3959436.f.hubspotemail.net/hubfs/3959436/Marketing%20content/Focaldata_Post-Budget%20tables%2c%2026-28%20Nov%202025.xlsx,xlsx,focaldata,
26– 28 Nov,2025,Opinium,68,https://www.opinium.com/wp-content/uploads/2025/11/VI-2025-11-26-Observer-data-tables-1441.xlsx,xlsx,opinium,
26– 27 Nov,2025,BMG Research,69,https://bmgresearch.com/wp-content/uploads/2025/12/november-2025-omnibus-tables-for-the-i-1.xlsx,xlsx,bmg_research,
26 Nov,2025,Find Out Now,70,https://cms.findoutnow.co.uk/app/uploads/2025/11/26th-November-VI-Find-Out-Now.xlsx,xlsx,find_out_now,
23– 24 Nov,2025,YouGov,71,https://d3nkl3psvxxpe9.cloudfront.net/documents/VotingIntention_MRP_Results_251124_w.pdf,pdf,yougov,
22– 24 Nov,2025,More in Common,72,https://www.moreincommon.org.uk/media/xzxfkzj0/voting-intention-24-november.xlsx,xlsx,more_in_common,
19– 21 Nov,2025,Opinium,73,https://www.opinium.com/wp-content/uploads/2025/11/Observer-VI-2025-11-19-Data-tables-1205.xlsx,xlsx,opinium,
18– 21 Nov,2025,Focaldata,74,https://3959436.fs1.hubspotusercontent-na1.net/hubfs/3959436/Marketing%20content/Focaldata_Pre-budget%20tables%2c%2018-21%20Nov%202025.xlsx,xlsx,focaldata,
19 Nov,2025,Find Out Now,75,https://cms.findoutnow.co.uk/app/uploads/2025/11/19th-November-VI-Find-Out-Now.xlsx,xlsx,find_out_now,
16– 20 Nov,2025,Survation,76,https://cdn.survation.com/wp-content/uploads/2025/11/28150243/Survation_VI_2025-11-20_Tables.xlsx,xlsx,survation,
16– 17 Nov,2025,YouGov,77,https://d3nkl3psvxxpe9.cloudfront.net/documents/VotingIntention_MRP_Results_251117_w.pdf,pdf,yougov,
14– 17 Nov,2025,More in Common,78,https://www.moreincommon.org.uk/media/0hnbr34x/voting-intention-14-17-november.xlsx,xlsx,more_in_common,
13– 17 Nov,2025,Lord Ashcroft Polls,79,https://lordashcroftpolls.com/2025/11/seize-the-day-kemi-as-two-thirds-of-voters-say-theyll-be-worse-off-after-the-chancellors-budget-grabs-this-is-a-huge-opportunity-for-badenoch-to-show-shes-a-credible-alternative/,html,lord_ashcroft,
12 Nov,2025,Find Out Now,80,https://cms.findoutnow.co.uk/app/uploads/2025/11/12th-November-VI-Find-Out-Now.xlsx,xlsx,find_out_now,
9– 10 Nov,2025,YouGov,81,https://d3nkl3psvxxpe9.cloudfront.net/documents/VotingIntention_MRP_Results_251110_w.pdf,pdf,yougov,
7– 10 Nov,2025,More in Common,82,https://www.moreincommon.org.uk/media/5fghxd3o/voting-intention-10-november.xlsx,xlsx,more_in_common,
7– 9 Nov,2025,Freshwater Strategy,83,https://freshwaterstrategy.com/wp-content/uploads/Data-Tables-City-AM-Freshwater-Strategy-UK-Polling-091125.xlsx,xlsx,freshwater_strategy,
5– 7 Nov,2025,Opinium,84,https://www.opinium.com/wp-content/uploads/2025/11/VI-2025-11-05-Observer-Data-Tables-1803.xlsx,xlsx,opinium,
5– 6 Nov,2025,Find Out Now,85,https://cms.findoutnow.co.uk/app/uploads/2025/11/5th-November-VI-Find-Out-Now-1.xlsx,xlsx,find_out_now,
30 Oct – 5 Nov,2025,Ipsos,86,https://www.ipsos.com/sites/default/files/ct/news/documents/2025-11/Ipsos_November%202025_Political%20Monitor_Data%20Tables_%20Public.pdf,pdf,ipsos,
2– 3 Nov,2025,YouGov,87,https://d3nkl3psvxxpe9.cloudfront.net/documents/VotingIntention_MRP_Results_251103_w.pdf,pdf,yougov,
31 Oct – 3 Nov,2025,More in Common,88,https://www.moreincommon.org.uk/media/wn2hcfmx/voting-intention-november-4.xlsx,xlsx,more_in_common,
31 Oct – 2 Nov,2025,JL Partners,89,https://static1.squarespace.com/static/5db0ca668552dd5ab1168a91/t/691318129aafd438f1f23600/1762859026141/Voting+Intention.xlsx,xlsx,jl_partners,
29 Oct,2025,Find Out Now,90,https://cms.findoutnow.co.uk/app/uploads/2025/10/29th-October-VI-Find-Out-Now.xlsx,xlsx,find_out_now,
26– 27 Oct,2025,YouGov,91,https://d3nkl3psvxxpe9.cloudfront.net/documents/VotingIntention_MRP_Results_251027.pdf,pdf,yougov,
24– 27 Oct,2025,More in Common,92,https://www.moreincommon.org.uk/media/udtjxxao/voting-intention-october-28.xlsx,xlsx,more_in_common,
22– 24 Oct,2025,Opinium,93,https://www.opinium.com/wp-content/uploads/2025/10/VI-2025-10-22-Observer-Data-Tables-2133.xlsx,xlsx,opinium,
22– 23 Oct,2025,Techne,94,https://www.techneuk.com/wp-content/uploads/2025/10/R160-UK-2025-10-23-DATA.pdf,pdf,techne,
22 Oct,2025,Find Out Now,95,https://cms.findoutnow.co.uk/app/uploads/2025/10/22nd-October-VI-Find-Out-Now.xlsx,xlsx,find_out_now,
19– 20 Oct,2025,YouGov,96,https://d3nkl3psvxxpe9.cloudfront.net/documents/VotingIntention_MRP_Results_251020_w.pdf,pdf,yougov,
17– 20 Oct,2025,More in Common,97,https://www.moreincommon.org.uk/media/ycfffdio/voting-intention-october-21.xlsx,xlsx,more_in_common,
16– 20 Oct,2025,Lord Ashcroft Polls,98,https://lordashcroftpolls.com/2025/10/id-card-scheme-is-a-classic-starmerite-intervention-its-expensive-intrusive-and-utterly-pointless/,html,lord_ashcroft,
8– 17 Oct,2025,Focaldata,99,https://3959436.fs1.hubspotusercontent-na1.net/hubfs/3959436/Marketing%20content/Focaldata_Westminster%20voting%20intention%20tables%2c%208-17%20Oct%202025.xlsx,xlsx,focaldata,
15 Oct,2025,Find Out Now,100,https://cms.findoutnow.co.uk/app/uploads/2025/10/15th-October-VI-Find-Out-Now.xlsx,xlsx,find_out_now,
12– 13 Oct,2025,YouGov,101,https://d3nkl3psvxxpe9.cloudfront.net/documents/VotingIntention_MRP_Results_251013_w.pdf,pdf,yougov,
10– 13 Oct,2025,More in Common,102,https://www.moreincommon.org.uk/media/swuhlk0u/voting-intention-october-14.xlsx,xlsx,more_in_common,
8– 10 Oct,2025,Opinium,103,https://www.opinium.com/wp-content/uploads/2025/10/VI-2025-10-08-Data-Tables-1820.xlsx,xlsx,opinium,
8 Oct,2025,Find Out Now,104,https://cms.findoutnow.co.uk/app/uploads/2025/10/8th-October-VI-Find-Out-Now.xlsx,xlsx,find_out_now,
5– 6 Oct,2025,YouGov,105,https://d3nkl3psvxxpe9.cloudfront.net/documents/VotingIntention_MRP_Results_251006_w.pdf,pdf,yougov,
3– 6 Oct,2025,More in Common,106,https://www.moreincommon.org.uk/media/e4xdsdar/voting-intention-october-6.xlsx,xlsx,more_in_common,
3– 5 Oct,2025,Freshwater Strategy,107,https://freshwaterstrategy.com/wp-content/uploads/Data-Tables-City-AM-Freshwater-Strategy-UK-Polling-051025.xlsx,xlsx,freshwater_strategy,
1– 3 Oct,2025,Opinium,108,https://www.opinium.com/wp-content/uploads/2025/10/VI-2025-10-01-Observer-Tables.xlsx,xlsx,opinium,
26 Sep – 3 Oct,2025,JL Partners,109,https://static1.squarespace.com/static/5db0ca668552dd5ab1168a91/t/68e3e4da5c5a8c226b5d4e84/1759765722997/Voting+Intention+Tables.xlsx,xlsx,jl_partners,
1 Oct,2025,Find Out Now,110,https://findoutnow.co.uk/blog/voting-intention-1st-october-2025/,html,find_out_now,
19 Sep – 1 Oct,2025,Focaldata,111,https://3959436.fs1.hubspotusercontent-na1.net/hubfs/3959436/Marketing%20content/Focaldata_Westminster%20voting%20intention%20tables%2c%2019%20Sep%20-%201%20Oct%202025.xlsx,xlsx,focaldata,
28– 29 Sep,2025,YouGov,112,https://d3nkl3psvxxpe9.cloudfront.net/documents/VotingIntention_MRP_Results_250929_w.pdf,pdf,yougov,
26– 29 Sep,2025,More in Common,113,https://www.moreincommon.org.uk/media/x1mpqajl/voting-intention-september-29.xlsx,xlsx,more_in_common,
24– 26 Sep,2025,Opinium,114,https://www.opinium.com/wp-content/uploads/2025/09/VI-2025-09-24-Observer-Data-Tables-0944.xlsx,xlsx,opinium,
24– 25 Sep,2025,Survation,115,https://cdn.survation.com/wp-content/uploads/2025/09/30013256/Daily_Mail_Tables.xlsx,xlsx,survation,
24 Sep,2025,Find Out Now,116,https://cms.findoutnow.co.uk/app/uploads/2025/09/24th-September-VI-Find-Out-Now.xlsx,xlsx,find_out_now,
31 Aug – 24 Sep,2025,YouGov  (MRP),,,unknown,yougov,missing citation/source url
21– 22 Sep,2025,YouGov,118,https://d3nkl3psvxxpe9.cloudfront.net/documents/VotingIntention_MRP_Results_250922_w.pdf,pdf,yougov,
19– 22 Sep,2025,More in Common,119,https://www.moreincommon.org.uk/media/iz2bdbkc/voting-intention-september-22.xlsx,xlsx,more_in_common,
17– 19 Sep,2025,Opinium,120,https://www.opinium.com/wp-content/uploads/2025/09/VI-2025-09-17-Observer-tables-1345.xlsx,xlsx,opinium,
17– 18 Sep,2025,Techne,121,https://www.techneuk.com/wp-content/uploads/2025/09/R159-UK-2025-9-18-DATA.pdf,pdf,techne,
17– 18 Sep,2025,Find Out Now,122,https://cms.findoutnow.co.uk/app/uploads/2025/09/17th-September-VI-Find-Out-Now.xlsx,xlsx,find_out_now,
11– 17 Sep,2025,Ipsos,123,https://www.ipsos.com/sites/default/files/ct/news/documents/2025-09/politmkp_w5sep2025web2%20V2.pdf,pdf,ipsos,
14– 15 Sep,2025,YouGov,124,https://d3nkl3psvxxpe9.cloudfront.net/documents/VotingIntention_MRP_Results_250915_w.pdf,pdf,yougov,
12– 15 Sep,2025,More in Common,125,https://www.moreincommon.org.uk/media/4u5bnpeq/voting-intention-september-15.xlsx,xlsx,more_in_common,
11– 15 Sep,2025,Lord Ashcroft Polls,126,https://lordashcroftpolls.com/2025/09/when-times-are-hard-voters-crave-pms-who-can-get-a-grip-and-that-not-the-scandals-is-why-theyre-so-sick-of-starmer/,html,lord_ashcroft,
8 Aug – 15 Sep,2025,More in Common  (MRP),,,unknown,more_in_common,missing citation/source url
10 Sep,2025,Find Out Now,130,https://cms.findoutnow.co.uk/app/uploads/2025/09/10th-September-VI-Find-Out-Now.xlsx,xlsx,find_out_now,
7– 8 Sep,2025,YouGov,131,https://d3nkl3psvxxpe9.cloudfront.net/documents/VotingIntention_MRP_Results_250908_w.pdf,pdf,yougov,
5– 8 Sep,2025,More in Common,132,https://www.moreincommon.org.uk/media/crrfrbnq/voting-intention-8-sept.xlsx,xlsx,more_in_common,
3– 5 Sep,2025,Opinium,133,https://www.opinium.com/wp-content/uploads/2025/09/VI-2025-09-03-Observer-Tables.xlsx,xlsx,opinium,
1– 4 Sep,2025,Techne,134,https://www.techneuk.com/wp-content/uploads/2025/09/R158-UK-2025-9-4-DATA.pdf,pdf,techne,
3 Sep,2025,Find Out Now,135,https://cms.findoutnow.co.uk/app/uploads/2025/09/3rd-September-VI-Find-Out-Now.xlsx,xlsx,find_out_now,
28 Aug – 2 Sep,2025,Survation,136,https://cdn.survation.com/wp-content/uploads/2025/09/05133804/SurvationVIWeightedTablesSeptember2025.xlsx,xlsx,survation,
31 Aug – 1 Sep,2025,YouGov,137,https://d3nkl3psvxxpe9.cloudfront.net/documents/VotingIntention_MRP_Results_250901_w.pdf,pdf,yougov,
29 Aug – 1 Sep,2025,More in Common,138,https://www.moreincommon.org.uk/media/f2nmtaqn/voting-intention-september-1.xlsx,xlsx,more_in_common,
21 Aug – 1 Sep,2025,Survation  (MRP),139,https://cdn.survation.com/wp-content/uploads/2025/10/14101152/38D_Segmentation_Tables_V1.xlsx,xlsx,survation,
29– 31 Aug,2025,Freshwater Strategy,,,unknown,freshwater_strategy,missing citation/source url
19– 31 Aug,2025,JL Partners,142,https://static1.squarespace.com/static/5db0ca668552dd5ab1168a91/t/68bae1aae1c3cc0da99a6d43/1757077930452/Voting+Intention+-+Tables.xlsx,xlsx,jl_partners,
26– 28 Aug,2025,BMG Research,143,https://bmgresearch.com/news/with-a-record-35-vote-share-reform-are-upending-british-politics/,html,bmg_research,
27 Aug,2025,Find Out Now,144,https://cms.findoutnow.co.uk/app/uploads/2025/08/27th-August-VI-Find-Out-Now.xlsx,xlsx,find_out_now,
25– 26 Aug,2025,YouGov,145,https://d3nkl3psvxxpe9.cloudfront.net/documents/VotingIntention_MRP_Results_250826_w.pdf,pdf,yougov,
22– 26 Aug,2025,More in Common,146,https://www.moreincommon.org.uk/media/zaclm5uq/voting-intention-22-26.xlsx,xlsx,more_in_common,
20– 22 Aug,2025,Opinium,147,https://www.opinium.com/wp-content/uploads/2025/08/VI-2025-08-20-Data-Tables-1256.xlsx,xlsx,opinium,
20 Aug,2025,Find Out Now,148,https://cms.findoutnow.co.uk/app/uploads/2025/08/20th-August-VI-Find-Out-Now.xlsx,xlsx,find_out_now,
15– 19 Aug,2025,Focaldata,,,unknown,focaldata,missing citation/source url
17– 18 Aug,2025,YouGov,150,https://d3nkl3psvxxpe9.cloudfront.net/documents/VotingIntention_MRP_Results_250818_w.pdf,pdf,yougov,
15– 18 Aug,2025,More in Common,151,https://www.moreincommon.org.uk/media/twbnfjxn/voting-intention-18-august.xlsx,xlsx,more_in_common,
14– 18 Aug,2025,Lord Ashcroft Polls,152,https://lordashcroftpolls.com/wp-content/uploads/2025/08/Lord-Ashcroft-Aug-2025-poll-Full-tables.xls,xls,lord_ashcroft,
13– 14 Aug,2025,Find Out Now,153,https://cms.findoutnow.co.uk/app/uploads/2025/08/13th_14th-August-Find-Out-Now-VI.xlsx,xlsx,find_out_now,
10– 11 Aug,2025,YouGov,154,https://d3nkl3psvxxpe9.cloudfront.net/documents/VotingIntention_MRP_Results_250811_w.pdf,pdf,yougov,
8– 11 Aug,2025,More in Common,155,https://www.moreincommon.org.uk/media/dj2hqsqe/voting-intention-august-13.xlsx,xlsx,more_in_common,
6– 8 Aug,2025,Opinium,156,https://www.opinium.com/resource-center/opinium-voting-intention-6th-august-2025/,html,opinium,
6 Aug,2025,Find Out Now,157,https://cms.findoutnow.co.uk/app/uploads/2025/08/6th-August-Find-Out-Now-VI.xlsx,xlsx,find_out_now,
3– 4 Aug,2025,YouGov,158,https://d3nkl3psvxxpe9.cloudfront.net/documents/VotingIntention_MRP_250804_w.pdf,pdf,yougov,
1– 3 Aug,2025,More in Common,159,https://www.moreincommon.org.uk/media/rdbj201m/voting-intention-3-august.xlsx,xlsx,more_in_common,
1– 3 Aug,2025,Freshwater Strategy,,,unknown,freshwater_strategy,missing citation/source url
16 Jul – 3 Aug,2025,Stack Data Strategy (MRP),162,https://www.lbc.co.uk/article/tories-14-seats-election-kemi-badenoch-5HjdNDZ_2/,html,stack_data_strategy,
29– 31 Jul,2025,BMG Research,165,https://bmgresearch.com/wp-content/uploads/2025/08/july-2025-omnibus-tables-for-the-i-1.xlsx,xlsx,bmg_research,
30 Jul,2025,Find Out Now,166,https://cms.findoutnow.co.uk/app/uploads/2025/07/30th-July-VI-Find-Out-Now.xlsx,xlsx,find_out_now,
27– 28 Jul,2025,YouGov,167,https://d3nkl3psvxxpe9.cloudfront.net/documents/VotingIntention_MRP_250728_w.pdf,pdf,yougov,
26– 28 Jul,2025,More in Common,168,https://www.moreincommon.org.uk/media/lf5nib1p/voting-intention-july-29.xlsx,xlsx,more_in_common,
23– 25 Jul,2025,Opinium,169,https://www.opinium.com/resource-center/opinium-voting-intention-23rd-july-2025/,html,opinium,
23 Jul,2025,Find Out Now,170,https://cms.findoutnow.co.uk/app/uploads/2025/07/23rd-July-VI-Find-Out-Now.xlsx,xlsx,find_out_now,
20– 21 Jul,2025,YouGov,171,https://d3nkl3psvxxpe9.cloudfront.net/documents/VotingIntention_MRP_250721_w.pdf,pdf,yougov,
18– 20 Jul,2025,More in Common,172,https://www.moreincommon.org.uk/media/zcei2auh/voting-intention-july-22.xlsx,xlsx,more_in_common,
17– 18 Jul,2025,JL Partners,173,https://jlpartners.co.uk/s/Islamophobia-Definition-Polling-Data-Tables-Final-for-Telegraph.xlsx,xlsx,jl_partners,
14– 18 Jul,2025,Focaldata,174,https://docs.google.com/spreadsheets/d/1tGMcxq3ate-RYcPYalkMh3ilXI8dprZs1LJInmjmPf8/edit?gid=2111754518#gid=2111754518,google_sheet,focaldata,
16 Jul,2025,Find Out Now,175,https://cms.findoutnow.co.uk/app/uploads/2025/07/16th-July-VI-Find-Out-Now.xlsx,xlsx,find_out_now,
13– 14 Jul,2025,YouGov,176,https://d3nkl3psvxxpe9.cloudfront.net/documents/VotingIntention_MRP_250714_w.pdf,pdf,yougov,
11– 14 Jul,2025,More in Common,177,https://www.moreincommon.org.uk/media/xdeas02a/voting-intention-july-15.xlsx,xlsx,more_in_common,
9– 11 Jul,2025,Opinium,,,unknown,opinium,missing citation/source url
9– 10 Jul,2025,Find Out Now,,,unknown,find_out_now,missing citation/source url
9– 10 Jul,2025,Techne,180,https://www.techneuk.com/wp-content/uploads/2025/07/R157-UK-2025-7-11-DATA.pdf,pdf,techne,
9 Jul,2025,Find Out Now,181,https://cms.findoutnow.co.uk/app/uploads/2025/07/9th-July-Find-Out-Now-VI.xlsx,xlsx,find_out_now,
6– 7 Jul,2025,YouGov,182,https://d3nkl3psvxxpe9.cloudfront.net/documents/VotingIntention_MRP_Results_250707.pdf,pdf,yougov,
4– 7 Jul,2025,More in Common,183,https://www.moreincommon.org.uk/media/dpwd0d5d/voting-intention-7july.xlsx,xlsx,more_in_common,
4– 7 Jul,2025,More in Common,184,https://www.moreincommon.org.uk/media/bfelndry/sultana-corbyn-voting-intention.xlsx,xlsx,more_in_common,
4– 6 Jul,2025,Freshwater Strategy,,,unknown,freshwater_strategy,missing citation/source url
2 Jul,2025,Find Out Now,186,https://cms.findoutnow.co.uk/app/uploads/2025/07/2nd-July-VI-Find-Out-Now.xlsx,xlsx,find_out_now,
